user,link,text,created_at,#likes,#comments,#retweets
Virat Kohli,https://twitter.com/imVkohli/status/1748941385972293903#m,"Research reveals that O’cean Fruit Water has a loyal fan base. Shockingly, not because of me, but thanks to its delicious flavors, B-Vitamins & minerals. Must admit, I'm a big fan too! Use VK10 for 10% off @ oceanbeverages.in Available @ retail stores @OceanBeverages #ad","Jan 21, 2024 · 5:31 AM UTC",29435,1894,1784
Virat Kohli,https://twitter.com/imVkohli/status/1745664399191273793#m,Rewinding to the best bits — From Bollywood Dialogues to deciphering the cool kids’ lingo and so much more. Step into my Unplugged World! 🎬  Watch the full video and all episodes here 🔗bit.ly/3Sdd4DG @StayWrogn #ad,"Jan 12, 2024 · 4:30 AM UTC",24368,1024,1664
Virat Kohli,https://twitter.com/imVkohli/status/1745000022838497345#m,"Kickstarting 2024 at the Baugh!   Love my new holiday home at Avās Living, Alibaugh. Super excited to give you a sneak peak into my oasis. . . #avasxvirat #inhabityourbestself #alibaug #baughofwonders #luxuryvillas #avaswellness #ad @AvasWellness","Jan 10, 2024 · 8:30 AM UTC",36724,966,2650
Virat Kohli,https://twitter.com/imVkohli/status/1736612252147450331#m,#one8CommuneBlr welcomes you to a riotous launch! Laugh endlessly with @randomchikibum and me. Discover Bengaluru's newest hotspot. Catch the full video on one8 commune's YouTube. Reserve: +918748881818 | +918548881818 #Ad,"Dec 18, 2023 · 5:00 AM UTC",27993,1337,1983
Virat Kohli,https://twitter.com/imVkohli/status/1734800313255899518#m,The O’cean Energy Drink sustainable edition is your full-power body recharge from plant-based caffeine.The can is made from at least 70% recycled aluminium that can be recycled forever. Get 50% off at oceanbeverages.in for Rs.65. @BallCorpHQ @oceanbeverages #EnergyDrink #ad,"Dec 13, 2023 · 5:00 AM UTC",20364,812,1452
Virat Kohli,https://twitter.com/imVkohli/status/1734479723059917189#m,😍,"Dec 12, 2023 · 7:46 AM UTC",261300,4406,15040
Virat Kohli,https://twitter.com/imVkohli/status/1734438684123107507#m,❤️♾️,"Dec 12, 2023 · 5:03 AM UTC",227496,4118,14693
Virat Kohli,https://twitter.com/imVkohli/status/1734075540796231937#m,"Fueling greatness, one day at a time. I'm with you.  #ImWithYou #Herbalife #HerbalifeIndia #ad @Herbalifeindia","Dec 11, 2023 · 5:00 AM UTC",18014,721,1345
Virat Kohli,https://twitter.com/imVkohli/status/1733711859243790578#m,Reasons got nothing on this one. Shop Wrogn at the End of Reason Sale today! Tap here to get started -- 🔗https://bit.ly/3TbQyMg #MyntraEORS #MyntraEndOfReasonSale #StayWrogn #ad @StayWrogn @myntra,"Dec 10, 2023 · 4:54 AM UTC",18324,545,1362
Virat Kohli,https://twitter.com/imVkohli/status/1732263598100254928#m,"Choosing BOLD is my game, always! 💪 Watch me answer some BOLD questions in The Talking Bold series by @RoyalChallenge_!  #RoyalChallenge #NayaSher #ChooseBold #RoyalChallengeChooseBold #BoldIsAChoice #ad","Dec 6, 2023 · 5:00 AM UTC",16879,615,1430
